Water Name,County,Spieces,Quanty,Average Length,Date Stocked,Latitude,Longitude
BARNEY L,SEVIER,TIGER TROUT,1001,3.2,07/30/2024,38.7333524,-111.6660725
BARTHOLOMEW PARK POND,UTAH,RAINBOW,1500,10.0,03/19/2024,40.1490312,-111.5575229
BASTIAN RES,GARFIELD,TIGER TROUT,1509,2.68,06/25/2024,37.8400344,-111.2845025
BEAR L,RICH,CUTTHROAT,101384,7.12,04/30/2024,42.0299239,-111.3321974
BEAR L G-7,SUMMIT,BROOK TROUT,2003,2.91,06/28/2024,40.8297566,-110.9983515
BEAR R,SUMMIT,RAINBOW,120,10.14,07/02/2024,40.8297566,-110.9983515
BEAVER CR,SUMMIT,RAINBOW,202,11.16,06/20/2024,40.8297566,-110.9983515
BEAVER DAMS NBS,WAYNE,BROOK TROUT,195,2.62,06/24/2024,38.3337024,-110.8076084
BEAVER L A-17,SUMMIT,BROOK TROUT,265,2.9,07/03/2024,40.8297566,-110.9983515
BEAVER L BR-10,SUMMIT,RAINBOW,1029,12.74,06/30/2024,40.8297566,-110.9983515
BEAVER R,BEAVER,RAINBOW,504,10.91,03/20/2024,38.2769149,-112.6410518
BECKY L WR-77,DUCHESNE,BROOK TROUT,166,2.93,06/26/2024,40.2172448,-110.5215459
BEDGROUND L Z-46,DUCHESNE,GRAYLING ARCTIC,299,2.47,09/23/2024,40.2172448,-110.5215459
BEE TREE,SANPETE,BROOK TROUT,200,2.71,07/01/2024,39.3090085,-111.5706786
BENCHS POND,SANPETE,RAINBOW,999,10.44,05/30/2024,39.654276,-111.294881
BERT L GR-62,UINTAH,GRAYLING ARCTIC,276,2.47,09/23/2024,40.1069499,-109.3783206
BESS L BTN,GARFIELD,BROOK TROUT,246,2.63,06/24/2024,37.8400344,-111.2845025
BETH L A-6,SUMMIT,BROOK TROUT,296,2.9,07/03/2024,40.8297566,-110.9983515
BIG DOG L X-32,DUCHESNE,GRAYLING ARCTIC,299,2.47,09/23/2024,40.2172448,-110.5215459
BIG ELK RES A-18,SUMMIT,TIGER TROUT,650,2.78,07/08/2024,40.8297566,-110.9983515
"BIG HOLLOW, UPPER",GARFIELD,TIGER TROUT,515,8.88,05/23/2024,37.6002348,-112.4187321
BIG L,SEVIER,RAINBOW,2730,11.5,05/29/2024,38.7333524,-111.6660725
BIG L BTS,GARFIELD,BROOK TROUT,205,2.63,06/24/2024,37.8400344,-111.2845025
BIG SANDWASH RES,DUCHESNE,RAINBOW,2226,9.4,05/10/2024,40.2677363,-110.068484
BIRCH CR RES,RICH,RAINBOW,538,10.52,06/10/2024,41.5629707,-111.1891151
BLACK DESERT POND,WASHINGTON,CHUB,412,4.02,03/21/2024,37.1615353,-113.6461819
BLACKSMITH FK,CACHE,RAINBOW,500,12.0,06/07/2024,41.7560026,-111.7614661
BLANCHE L,SALT LAKE,BROOK TROUT,912,2.92,07/01/2024,40.7764134,-111.8670978
BLANDING RES NO 3,SAN JUAN,RAINBOW,1534,9.83,03/18/2024,37.5981513,-109.4366159
BLANDING RES NO 4,SAN JUAN,RAINBOW,2015,9.83,03/18/2024,37.6311481,-109.4530781
BLIND L NBS,WAYNE,KOKANEE,7925,3.2,06/05/2024,38.3337024,-110.8076084
BLUE L,SANPETE,TIGER TROUT,494,2.68,06/25/2024,39.3090085,-111.5706786
BLUE L A-5,SUMMIT,BROOK TROUT,398,2.9,07/03/2024,40.8297566,-110.9983515
BLUE L DF-1,UINTAH,BROOK TROUT,699,2.93,06/26/2024,40.1069499,-109.3783206
BLUE L NCL,GARFIELD,TIGER TROUT,59,3.38,08/07/2024,37.8400344,-111.2845025
BLUE RIBBON #1,SANPETE,BROOK TROUT,125,2.71,07/01/2024,39.3090085,-111.5706786
BLUE RIBBON #2,SANPETE,BROOK TROUT,100,2.71,07/01/2024,39.3090085,-111.5706786
BLYTHE L Z-20,DUCHESNE,BROOK TROUT,398,2.9,07/02/2024,40.2172448,-110.5215459
BOBS HOLE NBS,WAYNE,TIGER TROUT,53,2.68,06/24/2024,38.2310925,-111.4699006
BONNIE L Z-6,DUCHESNE,BROOK TROUT,602,2.9,07/02/2024,40.2172448,-110.5215459
BOOKER L A-35,SUMMIT,BROOK TROUT,398,2.9,07/03/2024,40.8297566,-110.9983515
BOULGER POND,SANPETE,RAINBOW,999,10.44,05/30/2024,39.3090085,-111.5706786
BOUNTIFUL POND,DAVIS,RAINBOW,400,20.05,01/23/2024,40.9069693,-111.9251597
BOURBON L BR-1,SUMMIT,BROOK TROUT,500,2.9,07/02/2024,40.8297566,-110.9983515
"BOWNS RES, LOWER",GARFIELD,RAINBOW,8015,3.91,05/30/2024,37.8400344,-111.2845025
"BOX CR RES, LOWER",PIUTE,RAINBOW,1066,11.46,05/07/2024,38.3997408,-112.1430215
"BOX CR RES, UPPER",PIUTE,RAINBOW,2633,11.46,05/08/2024,38.3997408,-112.1430215
BOX RES,UTAH,RAINBOW,305,10.6,06/03/2024,40.0966287,-111.5706786
BR-43,SUMMIT,TIGER TROUT,197,2.78,07/08/2024,40.8297566,-110.9983515
BR-44,SUMMIT,TIGER TROUT,348,2.78,07/08/2024,40.8297566,-110.9983515
BR-50,SUMMIT,BROOK TROUT,347,2.9,07/02/2024,40.8297566,-110.9983515
BRAD'S SECRET,SANPETE,BROOK TROUT,125,2.71,07/01/2024,39.3090085,-111.5706786
BRIAN HEAD POND,IRON,RAINBOW,1000,9.95,05/21/2024,37.6927551,-112.8507766
BRIDGER L G-20,SUMMIT,RAINBOW,1800,10.77,05/29/2024,40.8297566,-110.9983515
BROOK L A-20,SUMMIT,BROOK TROUT,71,2.9,07/03/2024,40.8297566,-110.9983515
BROOKSIDE POND,WEBER,SUNFISH BLUEGILL,504,3.38,10/03/2024,41.2602635,-111.9522491
BROUGH RES,UINTAH,WIPER,21000,0.32,06/12/2024,40.1069499,-109.3783206
BROWNE L,DAGGETT,RAINBOW,1301,9.73,06/11/2024,40.9053845,-109.5211063
BROWNS DRAW RES,DUCHESNE,RAINBOW,14969,3.57,05/15/2024,40.2977304,-110.5962698
BRUSH CR,UINTAH,CUTTHROAT,2000,5.71,06/03/2024,40.1069499,-109.3783206
BUCKEYE L A-3,SUMMIT,BROOK TROUT,173,2.9,07/03/2024,40.8297566,-110.9983515
